INFO  - 2013-07-30 17:38:42.772; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-07-30 17:38:42.797; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Volumes/Storage/temp/plzdb/solr-4.4.0/example/contexts at interval 0
INFO  - 2013-07-30 17:38:42.810; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Volumes/Storage/temp/plzdb/solr-4.4.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-07-30 17:38:42.869; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Volumes/Storage/temp/plzdb/solr-4.4.0/example/webapps/solr.war!/ to /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr-webapp/webapp
INFO  - 2013-07-30 17:38:44.830; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-07-30 17:38:44.897; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-07-30 17:38:44.918; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-07-30 17:38:44.919; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-07-30 17:38:44.919; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-07-30 17:38:45.021; org.apache.solr.core.ConfigSolr; Loading container configuration from /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/solr.xml
INFO  - 2013-07-30 17:38:45.171; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr
INFO  - 2013-07-30 17:38:45.172; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/bin
INFO  - 2013-07-30 17:38:45.172; org.apache.solr.core.SolrCoreDiscoverer; Discovered properties file /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/core.properties, adding to cores
INFO  - 2013-07-30 17:38:45.177; org.apache.solr.core.CoreContainer; New CoreContainer 1586831707
INFO  - 2013-07-30 17:38:45.179; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-07-30 17:38:45.192; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-07-30 17:38:45.195; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-07-30 17:38:45.195; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-07-30 17:38:45.195; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-07-30 17:38:45.196; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-07-30 17:38:45.196; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-07-30 17:38:45.196; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-07-30 17:38:45.196; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-07-30 17:38:45.197; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-07-30 17:38:45.202; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-07-30 17:38:45.411; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2013-07-30 17:38:45.430; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1
INFO  - 2013-07-30 17:38:45.439; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/'
INFO  - 2013-07-30 17:38:45.529; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2013-07-30 17:38:45.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-07-30 17:38:45.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2013-07-30 17:38:45.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2013-07-30 17:38:45.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2013-07-30 17:38:45.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.552; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.552; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.552; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.552; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.553; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-07-30 17:38:45.553; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.553; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-07-30 17:38:45.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-07-30 17:38:45.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-07-30 17:38:45.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-07-30 17:38:45.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2013-07-30 17:38:45.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2013-07-30 17:38:45.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.558; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.559; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/dist/solr-cell-4.4.0.jar' to classloader
INFO  - 2013-07-30 17:38:45.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/attributes-binder-1.0.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/carrot2-mini-3.6.2.jar' to classloader
INFO  - 2013-07-30 17:38:45.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2013-07-30 17:38:45.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-07-30 17:38:45.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Volumes/Storage/temp/plzdb/solr-4.4.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
